hab_section|hab_wikipage|pri_wikipage|type|text
4.3.5|Floodplains-Inland Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 267|conservation programs and partnerships|Concentrate conservation efforts on the Pee Dee and Dan River basins, as they contain some of the larger tracts of intact floodplain forest left in the Piedmont and offer some of the best opportunities for large-scale habitat conservation.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Research Priority 268|research|Investigate how reduction in freshwater marsh and increases in higher salinity areas affect alligators.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Research Priority 269|research|Conduct research on fire management in marsh habitats to determine optimal frequency, timing, and firing techniques (e.g., flanking fire, back fire) to benefit priority birds.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Research Priority 270|research|Investigate population densities, population growth rates, dispersal range, and extent of property damage from Nutria burrowing and herbivory.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Research Priority 271|research|Determine what circumstances cause organic soils to rapidly decay in coastal wetlands.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Monitoring Priority 272|monitoring|Begin long-term monitoring, following survey data, for all marshbirds, mammals, and reptiles in this habitat type.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Management Practices Priority 273|management practices|Explore techniques for restoring tidal swamp forest and wetlands.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Management Practices Priority 274|management practices|Consider planting bald cypress to create the next shoreline as sea level rises and blocking ditches to slow saltwater flow into the interior of freshwater tidal marsh as a measure to reduce erosion and buy time for habitat migration inland.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Management Practices Priority 275|management practices|Use prescribed fire to burn portions of tidal freshwater marshes to eliminate or set-back competing woody species. Mechanical cutting of woody vegetation may be more feasible in wetter areas that cannot be reached by fire.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Management Practices Priority 276|management practices|The use of bulkheads should be discouraged when other possibilities are available.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Conservation Programs And Partnerships Priority 277|conservation programs and partnerships|Priorities for protection include colonial waterbird nesting sites, eagle nesting sites, Wood Stork foraging areas, and important Black Rail habitat once it is better identified. Adjacent nesting habitat for snakes and turtles should also be protected.
4.3.6|Freshwater Tidal Wetlands|NCWAP 2015 Conservation Programs And Partnerships Priority 278|conservation programs and partnerships|Acquisition of freshwater tidal marsh habitat in the Currituck Sound area is important.
4.4.6|Grass and Heath Balds|NCWAP 2015 Surveys Priority 279|surveys|Obtain baseline data on high-elevation bird species of grassy and heath balds, especially Golden Eagle, Vesper Sparrow, and Alder Flycatcher.
4.4.6|Grass and Heath Balds|NCWAP 2015 Surveys Priority 280|surveys|Obtain baseline data on mammal and reptile communities and habitat use (e.g., identify Timber Rattlesnake den sites).
4.4.6|Grass and Heath Balds|NCWAP 2015 Research Priority 281|research|Investigate the feasibility of using some form of controlled grazing regime to control invasive plants.
4.4.6|Grass and Heath Balds|NCWAP 2015 Research Priority 282|research|Study Timber Rattlesnake movements, use of hibernacula, and reproductive success at gestation sites.
4.4.6|Grass and Heath Balds|NCWAP 2015 Monitoring Priority 283|monitoring|Monitor priority small mammal and reptile population trends and habitat use.
4.4.6|Grass and Heath Balds|NCWAP 2015 Management Practices Priority 284|management practices|Initiate a prescribed fire regime to control invasive plants and prevent habitat conversion.
4.4.6|Grass and Heath Balds|NCWAP 2015 Management Practices Priority 285|management practices|Control invasive species and protect or restore areas, as this is critical to protect these habitats against threats.
4.4.6|Grass and Heath Balds|NCWAP 2015 Conservation Programs And Partnerships Priority 286|conservation programs and partnerships|Collaborate with partners to develop a management plan for high-elevation communities.
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Surveys Priority 287|surveys|Initiate distribution surveys for all amphibian species associated with headwater communities, but especially the Mole Salamander, Eastern Tiger Salamander, Dwarf Salamander, and Four-toed Salamander.
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Surveys Priority 288|surveys|Gather better information about the status and distribution of more common species associated with Piedmont headwater and associated wetland habitats (e.g., Three-lined Salamander, Common Ribbonsnake).
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Research Priority 289|research|Study the efficacy and practicality of “toad tunnels” and other wildlife crossings that allow passage under roadways and help maintain connectivity between headwater community (including associated wetlands) metapopulations.
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Research Priority 290|research|Determine minimum upland buffers required to sustain at-risk amphibian populations.
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Monitoring Priority 291|monitoring|Determine population trends and persistence of small wetland breeding amphibian populations, particularly the Mole Salamander, Eastern Tiger Salamander, Dwarf Salamander, and Four-toed Salamander.
4.2.7|Headwater Streams/Small Creeks|NCWAP 2015 Management Practices Priority 292|management practices|Use stormwater management techniques that strive to restore or maintain the pre-development hydrograph.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Surveys Priority 293|surveys|Survey for new Peregrine Falcon nests.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Surveys Priority 294|surveys|Obtain baseline data on small mammal communities and reptile communities and habitat use (e.g., identify Timber Rattlesnake den sites).
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Research Priority 295|research|Reintroduce rare species to patches or mountain ranges where they have been lost, as well as to restored areas, to improve their prospects for survival in the future climate.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Research Priority 296|research|Study Timber Rattlesnake movements, use of hibernacula, and reproductive success at gestation sites.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Monitoring Priority 297|monitoring|Monitor endemic species closely for declines in the near future. Transplantation may be required to prevent extinction.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Monitoring Priority 298|monitoring|Continue monitoring the Peregrine Falcon population.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Monitoring Priority 299|monitoring|Monitor priority mammal and reptile population trends and habitat use.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Management Practices Priority 300|management practices|Maintain biologically significant areas, including Peregrine Falcon nesting areas, reptile den sites, and significant salamander occurrences through active management of outcrops to reduce the intrusion by alder, rhododendron, and other species that contribute to the disappearance of some vertebrates.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Management Practices Priority 301|management practices|Control invasive species and protect or restore areas already affected by invasive species to protect against changing climate conditions.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Management Practices Priority 302|management practices|Use a hand crew to manually cut down encroaching woody vegetation with chainsaws or brush blades. Any use of herbicides and surfactants will need to be of low toxicity to wildlife.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Conservation Programs And Partnerships Priority 303|conservation programs and partnerships|Protect from trampling to allow the species pool to expand through suitable habitat, producing larger, more robust populations that would be better able to survive climate-related changes.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Conservation Programs And Partnerships Priority 304|conservation programs and partnerships|Ensure that all existing high-elevation rock outcrops are high priorities for conservation action, as they are extremely rare, have a very restricted range, and are subject to extreme environmental conditions.
4.4.7|High Elevation Cliffs and Rock Outcrops|NCWAP 2015 Conservation Programs And Partnerships Priority 305|conservation programs and partnerships|Close sensitive areas at certain times (e.g., during Timber Rattlesnake emergence or Peregrine Falcon nesting) or permanently to stop direct trampling, loss of habitat to recreation developments, trails, vistas, etc., and indirect human impacts (disturbance).
4.2.10|Large River Systems|NCWAP 2015 Surveys Priority 306|surveys|Carry out surveys todocument the distribution, relative abundance, and status of many wildlife species associated with riverine habitats. Priorities for conducting surveys need to focus on species believed to be declining, at risk, or mainly dependent on riverine communities.
4.2.10|Large River Systems|NCWAP 2015 Surveys Priority 307|surveys|Conduct additional surveys for species for which current distribution information is already available or for species that are considered common (NCWRC 2005).
4.2.10|Large River Systems|NCWAP 2015 Research Priority 308|research|Conduct studies to determine how large riverine habitats and the species that occupy the habitatrecover or change after major flooding events from hurricanes.
4.2.10|Large River Systems|NCWAP 2015 Research Priority 309|research|Investigate the effects of large scale snagging (removal of downed trees) within the rivers after hurricanes.
4.2.10|Large River Systems|NCWAP 2015 Research Priority 310|research|Conduct research to investigate population densities,population growth rates, dispersal range, and extent of property damage from Nutria burrowing and herbivory.
4.2.10|Large River Systems|NCWAP 2015 Monitoring Priority 311|monitoring|Develop or enhance long-term monitoring for amphibians and reptiles (Taylor and Jones 2002). There is also a decided lack of long-term monitoring information on most bat species (Ellis et al. 2002).
4.2.10|Large River Systems|NCWAP 2015 Monitoring Priority 312|monitoring|Continue existing programs and expand monitoring of anoxic and hypoxic water conditions, particularly during spring anadromous fish spawning, summer droughts, and before and after tropical storms.
4.2.10|Large River Systems|NCWAP 2015 Monitoring Priority 313|monitoring|Install new and maintain existing USGS flow/water quality monitoring stations to collect real-time dischargeand DO data.
4.2.10|Large River Systems|NCWAP 2015 Management Practices Priority 314|management practices|Make efforts toretain old growth floodplain forest (e.g., for Chimney Swifts, bats, and herpetofauna).
4.2.10|Large River Systems|NCWAP 2015 Management Practices Priority 315|management practices|Manage flow regimes in Coastal Plain rivers as much as possible to mirror the pre-dam hydrograph.
4.2.10|Large River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 316|conservation programs and partnerships|Increase buffer widths to mitigate impacts from pollution into river systems and to maintain habitatat the edge of these aquatic communities that will provide cover and foraging areas for many wildlife species using riverine habitat.
4.2.10|Large River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 317|conservation programs and partnerships|Pursue land acquisition and easements through cooperation with land trusts in an effort to increase the width of riparian buffers and create larger patches of connected habitat.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Surveys Priority 318|surveys|Map these sites in a GIS format to facilitate tracking changes over time in both the habitat and the associated species, and to facilitate landscape scale management of this rare habitat.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Surveys Priority 319|surveys|Obtain baseline data on amphibian, small mammal, and reptile communities and habitat use (e.g., identify Timber Rattlesnake den sites).
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Research Priority 320|research|Study the impact of various management scenarios on the habitat and associated species.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Research Priority 321|research|Study Timber Rattlesnake movements, use of hibernacula, and reproductive success at gestation sites.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Research Priority 322|research|Initiate genetic and morphological studies to clarify taxonomic status of plethodontid salamanders.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Research Priority 323|research|Study habitat use by rock outcrop salamander communities, including movements in and among rock outcrop habitats (e.g., Green Salamander metapopulations).
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Monitoring Priority 324|monitoring|Continue monitoring the Peregrine Falcon population.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Monitoring Priority 325|monitoring|Continue monitoring Green Salamander populations, as well as other salamanders of this habitat type (e.g., Crevice and Southern Zigzag salamanders).
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Management Practices Priority 326|management practices|Protect these habitats through active management to remove invasive species.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Management Practices Priority 327|management practices|Burn around open, dry outcrops that naturally burned to restore more natural structure around the margins, and favor species that will tolerate drought and wildfire better.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Management Practices Priority 328|management practices|Maintain biologically significant areas, including Peregrine Falcon nesting areas, reptile den sites, and significant salamander occurrences.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Management Practices Priority 329|management practices|Assign appropriate management schemes to rock outcrops on conservation lands to minimize negative impacts from human activities, including recreational use and development.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Conservation Programs And Partnerships Priority 330|conservation programs and partnerships|Protect remaining examples and surrounding forests. Sites should be protected from human disturbance, including locations that are already protected through conservation measures. This may be through closure during particular times of the year or permanently prohibiting use of the site.
4.4.8|Low Elevation Flatrocks, Cliffs, and Rock Outcrops|NCWAP 2015 Conservation Programs And Partnerships Priority 331|conservation programs and partnerships|Given the relative rarity of low-elevation rock outcrops across the state, measures need to be taken to conserve as much of this habitat as possible. This includes preservation measures, as well as conservation/management measures to ensure that species that rely upon these outcrops continue to be afforded the desired variety of habitat conditions into the future.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Surveys Priority 332|surveys|Determine the effects of current drought conditions on vegetated communities.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Surveys Priority 333|surveys|Map these sites in a GIS format to facilitate tracking changes over time in the habitat, as well as the associated species and facilitate landscape scale management of this rare habitat.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Surveys Priority 334|surveys|Conduct detailed surveys, such as moth trapping, at Buck Creek Barrens, the largest mafic barrens site in the state.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Surveys Priority 335|surveys|Monitor drought conditions and potential for catastrophic wildfire.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Research Priority 336|research|Study population responses to a prescribed fire regime.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Research Priority 337|research|Study the impact of various management scenarios on the habitat and associated species.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Management Practices Priority 338|management practices|Initiate a prescribed fire regime to prevent invasive plants and prevent habitat conversion.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Management Practices Priority 339|management practices|Protect this habitat through active management to remove invasive species.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Conservation Programs And Partnerships Priority 340|conservation programs and partnerships|Close sites to stop direct (trampling, loss of habitat to recreation developments such as trails, vistas, etc.) and indirect (disturbance) human impacts.
4.4.5|Mafic Glades and Barrrens|NCWAP 2015 Conservation Programs And Partnerships Priority 341|conservation programs and partnerships|Use easements and land acquisition to protect from long-term impacts such as housing development.
4.4.14|Maritime Forests|NCWAP 2015 Surveys Priority 342|surveys|Determine the status and distribution of amphibians and reptiles in maritime communities.
4.4.14|Maritime Forests|NCWAP 2015 Surveys Priority 343|surveys|Conduct migration surveys to determine bird use, especially during the fall.
4.4.14|Maritime Forests|NCWAP 2015 Surveys Priority 344|surveys|Conduct small mammal surveys on barrier island systems to verify species status, distribution, and community composition.
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 345|research|Conduct cooperative research with western states to determine the genetic relationships between Eastern and Western Painted Buntings.
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 346|research|Conduct genetics research on all “Kingsnake” species.
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 347|research|Document the habitat selection and competition factors related to Indigo Buntings and Painted Buntings in these habitats (Kopachena and Crist 2000).
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 348|research|Initiate productivity and habitat use research on priority species such as Eastern Painted Bunting (Norris and Elder 1982; Lanyon and Thompson 1986; Kopachena and Crist 2000), Southern Dusky Salamander, Eastern Spadefoot, Coachwhip, Northern Scarletsnake, Eastern Kingsnakes, and Eastern Coral Snake.
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 349|research|Consider maritime forests in the far southeastern portion of the state to be potential Eastern Woodrat reintroduction sites, as they were historically supported in those locations.
4.4.14|Maritime Forests|NCWAP 2015 Research Priority 350|research|Examine demographics, population dynamics, and the specific habitat requirements of the Buxton Woods White-footed Mouse.
4.4.14|Maritime Forests|NCWAP 2015 Monitoring Priority 351|monitoring|Establish MAPS and migration banding stations in this habitat type.
4.4.14|Maritime Forests|NCWAP 2015 Monitoring Priority 352|monitoring|Establish long-term monitoring of amphibians and reptiles, once survey data has been established.
4.4.14|Maritime Forests|NCWAP 2015 Monitoring Priority 353|monitoring|Carefully monitor loss of this habitat from sea level rise.
4.4.14|Maritime Forests|NCWAP 2015 Monitoring Priority 354|monitoring|Continue long-term monitoring and banding work (currently being done by the USGS) on Eastern Painted Buntings and support the goals and objectives of the Painted Bunting Working Group that involves Florida, Georgia, South Carolina, and North Carolina.
4.4.14|Maritime Forests|NCWAP 2015 Management Practices Priority 355|management practices|Where possible, remove or exclude feral animals. Exclosure plots and electric fences should be considered as methods to prevent grazing or trampling (Porter et al. 2014).
4.4.14|Maritime Forests|NCWAP 2015 Management Practices Priority 356|management practices|Control the number of feral horses and contain populations of free roaming horses to reduce habitat damage (Porter et al. 2014).
4.4.14|Maritime Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 357|conservation programs and partnerships|Make remaining coastal maritime habitats a priority for land acquisition efforts. Though coastal uplands are essentially the most costly areas to acquire in the state, it is essential to acquire remaining undeveloped maritime forests, both on barrier islands and on the mainland.
4.4.14|Maritime Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 358|conservation programs and partnerships|Pursue reestablishment of maritime forest habitats, including initiation of prescribed burning of appropriate maritime habitats, where possible.
4.4.15|Maritime Grasslands|NCWAP 2015 Surveys Priority 359|surveys|Surveys are needed to document the distribution, relative abundance and status of wildlife species associated with these beach/dune habitats. Priorities for conducting surveys need to focus on species believed to be declining, at risk, or mainly dependent on these communities.
4.4.15|Maritime Grasslands|NCWAP 2015 Surveys Priority 360|surveys|Secondary priority for surveys should be for species for which current distribution information is already available or for species that are considered common.
4.4.15|Maritime Grasslands|NCWAP 2015 Surveys Priority 361|surveys|Conduct shorebird surveys throughout the year to better understand population fluctuations for breeding, wintering, and migratory birds (especially Piping Plover, American Oystercatcher, and Wilson's Plover).
4.4.15|Maritime Grasslands|NCWAP 2015 Surveys Priority 362|surveys|Determine distribution and status of wintering shorebirds (Sprandel et al. 2000).
4.4.15|Maritime Grasslands|NCWAP 2015 Research Priority 363|research|Identify causal factors responsible for low beach-nesting bird reproductive success; initiate predator impact studies (e.g., ghost crabs, Fire Ants, gulls, foxes, Raccoons, feral cats, etc.) (Wolcott and Wolcott 1999).
4.4.15|Maritime Grasslands|NCWAP 2015 Research Priority 364|research|Experiment more with creation of overwash fans or ephemeral ponds for nesting or foraging birds.
4.4.15|Maritime Grasslands|NCWAP 2015 Research Priority 365|research|Continue sea turtle DNA research to better determine nesting habits and needs.
4.4.15|Maritime Grasslands|NCWAP 2015 Research Priority 366|research|Work with owners and managers of buildings containing nesting least terns to increase reproductive success while allowing owners/managers to maintain good public relations.
4.4.15|Maritime Grasslands|NCWAP 2015 Monitoring Priority 367|monitoring|Continue support for regular colonial waterbird surveys (currently conducted coast-wide roughly every three years).
4.4.15|Maritime Grasslands|NCWAP 2015 Monitoring Priority 368|monitoring|Continue sea turtle nest and stranding monitoring.
4.4.15|Maritime Grasslands|NCWAP 2015 Monitoring Priority 369|monitoring|Monitor introduced nonnative species effects (especially plants and invertebrates) on native coastal wildlife, including sea turtles.
4.4.15|Maritime Grasslands|NCWAP 2015 Monitoring Priority 370|monitoring|Monitor status and reproductive success of Gull-billed Terns, Common Terns, Least Terns, Black Skimmers, Piping Plovers, and Caspian Terns.
4.4.15|Maritime Grasslands|NCWAP 2015 Monitoring Priority 371|monitoring|Determine seasonal numbers and distribution of shorebirds (Dinsmore et al. 1998).
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 372|management practices|Although protected by law in North Carolina, feral horse herds should be restricted from some areas where they currently roam free. Such restriction would be particularly beneficial at Shackleford Banks and Currictuck National Wildlife Refuge (Porter et al. 2014). Fence off portions of barrier islands where feral horses still occur to allow recovery of maritime grassland communities.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 373|management practices|Where sand supply is abundant and substrate is appropriate, restore overwash processes that carry sand from the seaward to the landward side of an island and may allow landward migration and improve prospects for survival.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 374|management practices|Collect seeds of the rarest plant species associated with maritime grasslands (especially annual species) to protect genetic diversity and maintain a source of local material that can be used to reestablish populations if species are extirpated or severely impacted within North Carolina.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 375|management practices|Control predators (not limited to exotic species) through education efforts, trapping, or other means to increase sea turtle and beach-nesting bird reproductive success.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 376|management practices|Make efforts to address beach lighting, sand fencing, sand pushing, and beach stabilization issues so that sea turtles have a better chance for nesting success.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 377|management practices|Continue the use of bird decoys and sound broadcasts to attract colonial nesting birds to better nesting sites.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 378|management practices|Continue coordination to influence where dredged material is placed to be most beneficial/least detrimental to beach-nesting birds, foraging shorebirds, and sea turtles.
4.4.15|Maritime Grasslands|NCWAP 2015 Management Practices Priority 379|management practices|Reduce disturbance from off-road vehicles, people, and their pets on coastal beach and dune systems. Continued support for and enhanced coordination among coastal management agencies regarding existing restrictions and programs aimed at regulating beach activities is also critical.
4.4.15|Maritime Grasslands|NCWAP 2015 Conservation Programs And Partnerships Priority 380|conservation programs and partnerships|Continue coordination with waterbird working groups such as the North Carolina Waterbird Committee, the Piping Plover Recovery Team, the American Oystercatcher Working Group, and the Royal Tern Working Group.
4.4.15|Maritime Grasslands|NCWAP 2015 Conservation Programs And Partnerships Priority 381|conservation programs and partnerships|Implement future recommendations from the North American Waterbird Conservation Plan (Kushlan et al. 2002).
4.2.9|Medium River Systems|NCWAP 2015 Surveys Priority 382|surveys|Direct initial efforts toward surveys to determine the current baseline distribution and status of species mainly associated with mesic forests (especially those that are state-listed or believed to be declining) for which that information is lacking.
4.2.9|Medium River Systems|NCWAP 2015 Surveys Priority 383|surveys|Focus secondary efforts on conducting surveys to understand current status, from which we can measure future population changes over time.
4.2.9|Medium River Systems|NCWAP 2015 Research Priority 384|research|Collect demographic information on all bat species; investigate specific habitatneeds and conduct life history studies.
4.2.9|Medium River Systems|NCWAP 2015 Monitoring Priority 385|monitoring|Enhance current monitoring systems and protocols (e.g., MAPS and BBS) to better cover certain species not well covered by current monitoring efforts.
4.2.9|Medium River Systems|NCWAP 2015 Monitoring Priority 386|monitoring|Establish long-term monitoring for small mammals and bats following initial surveys.
4.2.9|Medium River Systems|NCWAP 2015 Monitoring Priority 387|monitoring|Conduct general long-term herpetofauna monitoring to track the effects of the loss of old growth characteristics in this habitattype.
4.2.9|Medium River Systems|NCWAP 2015 Management Practices Priority 388|management practices|Maintain connections between habitatblocks, not only to allow adjustments in range in response to climate change, but to maintain population resilience and adaptability more generally.
4.2.9|Medium River Systems|NCWAP 2015 Management Practices Priority 389|management practices|Create transportation facilities that utilize longer bridges at streams and wetlands to minimize impacts (and thereby reduce mitigation requirements) and provide crossing options for wildlife that often travel riparian corridors and disperse to upland communities.
4.2.9|Medium River Systems|NCWAP 2015 Management Practices Priority 390|management practices|For protected and unprotected sites, control the exotic plants that are present or may potentially invade.
4.2.9|Medium River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 391|conservation programs and partnerships|Create cooperative programs with non-industrial foresters that promote and increase silvicultural practices (e.g., canopy gap management, longer rotations, introduction of fire), as this could benefit birds of conservation concern as well as small mammals, bats, reptiles, and amphibians.
4.2.9|Medium River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 392|conservation programs and partnerships|Give high priority to protecting movement corridors that allow dispersal between habitat blocks, especially as development and roadways fragment the few remaining large tracts of habitat.
4.2.9|Medium River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 393|conservation programs and partnerships|Give priority to restoring connections that are lost due to construction of four-lane highways and other roads that create near-impassible barriers for all animals except those capable of flight.
4.2.9|Medium River Systems|NCWAP 2015 Conservation Programs And Partnerships Priority 394|conservation programs and partnerships|Ensure that conservation actions include land acquisition, easements, and protection to promote remaining large, unfragmented tracts as well as management to maintain and reestablish mesic forest. This is a relatively rare forest type and great effort should be made to protect mesic forests and their species assemblages. Conservation of larger natural areas that include adjacent communities will lead to greater viability for all communities present.
4.4.9|Mesic Forests|NCWAP 2015 Surveys Priority 395|surveys|Direct initial efforts toward surveys to determine the current baseline distribution and status of species mainly associated with mesic forests (especially those that are state-listed or believed to be declining) for which that information is lacking.
4.4.9|Mesic Forests|NCWAP 2015 Surveys Priority 396|surveys|Focus secondary efforts on conducting surveys to understand current status, from which we can measure future population changes over time.
4.4.9|Mesic Forests|NCWAP 2015 Research Priority 397|research|Collect demographic information on all bat species; investigate specific habitat needs and conduct life history studies.
4.4.9|Mesic Forests|NCWAP 2015 Monitoring Priority 398|monitoring|Enhance current monitoring systems and protocols (e.g., MAPS and BBS) to better cover certain species not well covered by current monitoring efforts.
4.4.9|Mesic Forests|NCWAP 2015 Monitoring Priority 399|monitoring|Establish long-term monitoring for small mammals and bats following initial surveys.
4.4.9|Mesic Forests|NCWAP 2015 Monitoring Priority 400|monitoring|Conduct general long-term herpetofauna monitoring to track the effects of the loss of old growth characteristics in this habitat type.
4.4.9|Mesic Forests|NCWAP 2015 Management Practices Priority 401|management practices|Maintain connections between habitat blocks, not only to allow adjustments in range in response to climate change, but to maintain population resilience and adaptability more generally.
4.4.9|Mesic Forests|NCWAP 2015 Management Practices Priority 402|management practices|Create transportation facilities that utilize longer bridges at streams and wetlands to minimize impacts (and thereby reduce mitigation requirements) and provide crossing options for wildlife that often travel riparian corridors and disperse to upland communities.
4.4.9|Mesic Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 403|conservation programs and partnerships|Create cooperative programs with non-industrial foresters that promote and increase silvicultural practices (e.g., canopy gap management, longer rotations, introduction of fire), as this could benefit birds of conservation concern as well as small mammals, bats, reptiles, and amphibians.
4.4.9|Mesic Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 404|conservation programs and partnerships|Give high priority to protecting movement corridors that allow dispersal between habitat blocks, especially as development and roadways fragment the few remaining large tracts of habitat.
4.4.9|Mesic Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 405|conservation programs and partnerships|Give priority to restoring connections that are lost due to construction of four-lane highways and other roads that create near-impassible barriers for all animals except those capable of flight.
4.4.9|Mesic Forests|NCWAP 2015 Conservation Programs And Partnerships Priority 406|conservation programs and partnerships|Ensure that conservation actions include land acquisition, easements, and protection to promote remaining large, unfragmented tracts as well as management to maintain and reestablish mesic forest. This is a relatively rare forest type and great effort should be made to protect mesic forests and their species assemblages. Conservation of larger natural areas that include adjacent communities will lead to greater viability for all communities present.
4.4.12|Montane Oak Forests|NCWAP 2015 Surveys Priority 407|surveys|Give priority to gathering baseline information regarding the current distribution and status of oak forest-associated species that are rare or declining (e.g., Black-capped Chickadee, Eastern Fox Squirrel, Wehrle's Salamander, Timber Rattlesnake, and several bat species).
4.4.12|Montane Oak Forests|NCWAP 2015 Surveys Priority 408|surveys|Expand surveys to include species for which we know very little about current status and distribution (e.g., Whip-poor-will, weasels, moles, shrews, bats, certain salamanders, and reptile species such as the Eastern Box Turtle).
4.4.12|Montane Oak Forests|NCWAP 2015 Research Priority 409|research|Initiate genetic and morphological studies to clarify taxonomic status of numerous birds and amphibians (e.g., high-elevation birds, plethodontid salamanders).
4.4.12|Montane Oak Forests|NCWAP 2015 Research Priority 410|research|Conduct life history and habitat use research on Northern Pinesnake.
4.4.12|Montane Oak Forests|NCWAP 2015 Research Priority 411|research|Conduct habitat use studies of neotropical migrants (Worm-eating Warblers, Black-capped Chickadees, and many others) using telemetry.
4.4.12|Montane Oak Forests|NCWAP 2015 Research Priority 412|research|Conduct habitat use and life history studies for bat species that may potentially use this habitat (Hoary, Silver-haired, Eastern Small-footed, and Northern Long-eared bats).
4.4.12|Montane Oak Forests|NCWAP 2015 Research Priority 413|research|Study population responses of plant and wildlife species to habitat manipulations (large scale prescribed burning, oak savannah creation, canopy gap creation, etc.).
